"timestamp","open","high","low","close","adjusted close","volume","dividend amount"
"2018-10-17","2461.1001","2599.0000","2443.3999","2565.0000","2565.0000","2215268","0.0000"
"2018-10-12","2395.0000","2516.0000","2332.0000","2450.5000","2450.5000","4098447","0.0000"
"2018-10-05","2531.0000","2549.0000","2350.3000","2394.5500","2394.5500","3009411","0.0000"
"2018-09-28","2577.8000","2664.2000","2484.5500","2530.6499","2530.6499","4774203","0.0000"
"2018-09-21","2581.0000","2670.8000","2441.1001","2556.2500","2556.2500","4084185","0.0000"
"2018-09-14","2623.8000","2659.8000","2487.6001","2581.8501","2581.8501","4386962","0.0000"
"2018-09-07","2510.0000","2644.3000","2495.0000","2632.5000","2632.5000","7594662","0.0000"
"2018-08-31","2453.0000","2499.0000","2375.0500","2492.0000","2492.0000","4905581","0.0000"
"2018-08-24","2365.0000","2520.0000","2354.1001","2447.4500","2447.4500","3201548","0.0000"
"2018-08-17","2220.0000","2411.3000","2215.1499","2364.1499","2364.1499","2534371","0.0000"
"2018-08-10","2285.0000","2325.0000","2205.0500","2214.3000","2214.3000","2395673","0.0000"
"2018-08-03","2080.0500","2290.0000","2058.3000","2281.0500","2281.0500","5238026","0.0000"
"2018-07-27","2073.0000","2191.0000","2032.5000","2083.2000","2083.2000","5224387","0.0000"
"2018-07-20","2223.1001","2223.1001","2020.0000","2051.8999","2051.8999","7881753","0.0000"
"2018-07-13","2282.0000","2387.6499","2275.0000","2319.8501","2277.8835","3995198","0.0000"
"2018-07-06","2230.0000","2348.7000","2202.2500","2269.0500","2228.0024","3983590","0.0000"
"2018-06-29","2305.0000","2326.8000","2223.0000","2235.0500","2194.6174","5449871","0.0000"
"2018-06-22","2339.0000","2429.6001","2274.0500","2336.2500","2293.9866","8348706","0.0000"
"2018-06-15","2062.0500","2385.8000","2051.6499","2349.8501","2307.3406","12335537","0.0000"
"2018-06-08","1978.0000","2072.6001","1948.0000","2062.8999","2025.5815","3447629","0.0000"
"2018-06-01","1966.7500","2014.5500","1925.9500","1941.4000","1906.2795","3636921","0.0000"
"2018-05-25","1991.0000","2036.0000","1887.0000","1967.8500","1932.2511","4152653","0.0000"
"2018-05-18","2012.0000","2043.0000","1950.1000","1982.0000","1946.1450","2234344","0.0000"
"2018-05-11","2110.0000","2110.7500","1960.0000","1990.5000","1954.4913","2113698","0.0000"
"2018-05-04","2110.8000","2145.0000","2087.6499","2106.6001","2068.4910","965502","0.0000"
"2018-04-27","2123.3999","2180.0000","2064.1001","2097.7500","2059.8013","3395152","0.0000"
"2018-04-20","2081.2000","2145.9500","2075.0000","2121.8999","2083.5142","1400918","0.0000"
"2018-04-13","2120.0000","2135.3999","2054.3000","2089.9500","2052.1421","2165896","0.0000"
"2018-04-06","2080.0000","2149.8501","2079.9500","2124.8000","2086.3618","1518672","0.0000"
"2018-03-28","2072.0000","2119.0000","2050.3000","2080.5500","2042.9124","1490494","0.0000"
"2018-03-23","2155.0000","2179.8501","2060.2000","2072.3000","2034.8115","1933379","0.0000"
"2018-03-16","2160.0000","2218.3999","2118.3000","2142.1499","2103.3979","2246594","0.0000"
"2018-03-09","2229.8000","2239.8999","2095.0000","2129.8999","2091.3694","2453415","0.0000"
"2018-03-01","2120.0000","2266.9500","2090.0000","2231.5000","2191.1316","3284455","0.0000"
"2018-02-23","2223.0000","2233.9500","2086.5500","2167.0500","2127.8477","4138155","0.0000"
"2018-02-16","2194.7000","2240.0000","2175.6001","2213.5500","2173.5061","1596541","0.0000"
"2018-02-09","2110.2000","2208.0000","2005.5500","2193.8000","2154.1135","3133779","0.0000"
"2018-02-02","2448.9500","2452.0000","2110.0500","2123.5500","2085.1345","5084443","0.0000"
"2018-01-25","2440.0000","2615.0000","2440.0000","2507.7500","2462.3840","5200813","0.0000"
"2018-01-19","2447.0000","2534.0000","2425.0500","2490.3501","2445.2991","1735836","0.0000"
"2018-01-12","2470.0000","2512.0000","2413.6499","2447.6499","2403.3713","1714948","0.0000"
"2018-01-05","2410.0000","2479.0000","2292.1001","2473.3999","2428.6553","2578137","0.0000"
"2017-12-29","2334.9500","2448.3999","2329.0000","2414.2000","2370.5264","2201103","0.0000"
"2017-12-22","2365.0000","2428.0000","2330.0000","2332.7000","2290.5007","1768828","0.0000"
"2017-12-15","2198.7000","2380.0000","2171.0000","2371.5000","2328.5989","3841467","0.0000"
"2017-12-08","2275.0000","2275.0000","2179.3501","2185.4500","2145.9146","1460362","0.0000"
"2017-12-01","2296.0000","2319.8999","2222.5000","2233.8999","2193.4880","3109693","0.0000"
"2017-11-24","2337.0000","2494.0000","2260.1499","2295.0500","2253.5317","4236183","0.0000"
"2017-11-17","2354.7000","2375.0000","2293.0000","2322.6001","2280.5837","1360546","0.0000"
"2017-11-10","2414.0000","2420.0000","2337.5000","2347.8501","2305.3770","1790022","0.0000"
"2017-11-03","2396.0000","2504.0000","2348.0000","2419.1001","2375.3379","5782177","0.0000"
"2017-10-27","2390.1001","2415.0000","2315.0000","2394.9500","2351.6248","1738503","0.0000"
"2017-10-19","2356.0000","2411.0000","2356.0000","2373.0500","2330.1208","1074185","0.0000"
"2017-10-13","2380.0000","2433.0000","2350.0000","2354.4500","2311.8574","2157561","0.0000"
"2017-10-06","2415.0000","2428.3999","2319.5500","2375.8501","2332.8704","3460106","0.0000"
"2017-09-29","2464.0000","2475.0000","2272.2000","2328.7500","2286.6221","7220249","0.0000"
"2017-09-22","2204.0000","2526.7500","2175.6001","2457.7500","2413.2886","8679565","0.0000"
"2017-09-15","2169.0000","2264.9500","2135.3999","2211.2000","2171.1987","3004671","0.0000"
"2017-09-08","2234.0000","2236.3999","2066.1499","2162.5000","2123.3796","4198832","0.0000"
"2017-09-01","2084.0000","2233.0000","2006.0000","2217.5500","2177.4338","6304389","0.0000"
"2017-08-24","1990.0000","2100.0000","1921.1000","2088.1499","2050.3748","3125422","0.0000"
"2017-08-18","2000.0000","2039.9000","1970.0500","1982.0000","1946.1450","2394834","0.0000"
"2017-08-11","2240.0000","2257.0000","1901.1500","2011.1500","1974.7678","6619976","0.0000"
"2017-08-04","2438.0000","2458.0000","2230.1001","2239.5500","2199.0359","5133829","0.0000"
"2017-07-28","2785.0000","2787.0000","2451.1001","2464.9500","2420.3584","4439182","0.0000"
"2017-07-21","2697.3999","2784.8000","2682.3000","2762.5500","2712.5747","1338011","0.0000"
"2017-07-14","2711.0000","2745.5000","2668.6499","2703.0000","2634.4639","746765","0.0000"
"2017-07-07","2700.0000","2729.5000","2610.3000","2705.3999","2636.8027","1000153","0.0000"
"2017-06-30","2630.2500","2711.0000","2625.1499","2690.1001","2621.8909","967070","0.0000"
"2017-06-23","2672.0000","2699.8999","2614.8000","2643.7000","2576.6672","1222141","0.0000"
"2017-06-16","2626.3000","2720.9500","2612.0500","2682.6001","2614.5811","2088374","0.0000"
"2017-06-09","2543.1499","2666.2500","2516.0000","2628.8000","2562.1453","1695664","0.0000"
"2017-06-02","2430.1001","2574.8000","2380.3501","2554.5000","2489.7292","2385372","0.0000"
"2017-05-26","2680.0000","2681.9500","2398.0000","2414.3999","2353.1812","2334546","0.0000"
"2017-05-19","2600.0000","2760.0000","2592.0000","2656.4500","2589.0940","2340124","0.0000"
"2017-05-12","2591.5000","2622.8999","2521.9500","2580.8000","2515.3623","2024203","0.0000"
"2017-05-05","2578.0000","2625.0000","2566.0000","2603.0000","2536.9995","609730","0.0000"
"2017-04-28","2619.6499","2651.6001","2583.5500","2599.1499","2533.2468","1275911","0.0000"
"2017-04-21","2720.0000","2723.5000","2602.5000","2609.6499","2543.4807","1141358","0.0000"
"2017-04-13","2655.0000","2670.7500","2615.3000","2640.9500","2573.9871","735388","0.0000"
"2017-04-07","2644.8000","2770.0000","2627.1001","2661.3501","2593.8696","2335321","0.0000"
"2017-03-31","2617.0000","2649.0500","2606.1001","2632.3501","2565.6050","1850578","0.0000"
"2017-03-24","2742.0000","2746.0000","2555.2000","2628.3501","2561.7065","3402197","0.0000"
"2017-03-17","2746.7000","2765.0000","2716.7000","2736.2500","2666.8706","1450991","0.0000"
"2017-03-10","2884.0000","2884.0000","2700.0000","2715.8501","2646.9880","3532173","0.0000"
"2017-03-03","2884.7000","2948.8000","2845.0000","2871.1001","2798.3015","2872756","0.0000"
"2017-02-23","2922.3999","2935.1001","2875.0000","2887.3999","2814.1880","3688651","0.0000"
"2017-02-17","2980.9500","2988.2500","2798.9500","2912.7000","2838.8467","2887737","0.0000"
"2017-02-10","3170.0000","3177.0000","2970.0000","2976.0500","2900.5906","1576762","0.0000"
"2017-02-03","2990.0000","3159.0000","2944.1001","3144.5500","3064.8181","1384232","0.0000"
"2017-01-27","2939.0000","3011.5500","2904.0000","2994.5500","2918.6213","958411","0.0000"
"2017-01-20","2999.0000","3007.0000","2920.0000","2947.3999","2872.6667","1272642","0.0000"
"2017-01-13","3154.0000","3154.0000","2943.0000","2979.7500","2904.1965","1435263","0.0000"
"2017-01-06","3066.0000","3203.8501","3065.7500","3159.1499","3079.0476","1039983","0.0000"
"2016-12-30","2990.0000","3111.7500","2979.1001","3060.3999","2982.8015","757347","0.0000"
"2016-12-23","3110.0000","3115.0000","2980.1001","2998.5500","2922.5200","1098449","0.0000"
"2016-12-16","3189.0000","3189.0000","3101.4500","3107.8000","3028.9998","563230","0.0000"
"2016-12-09","3197.5000","3241.5500","3118.5500","3186.3999","3105.6064","1054148","0.0000"
"2016-12-02","3170.5000","3247.2500","3151.8000","3180.5000","3099.8564","1604619","0.0000"
"2016-11-25","3194.1001","3203.6499","3075.3501","3168.4500","3088.1121","1367189","0.0000"
"2016-11-18","3256.5000","3354.9500","3142.1001","3214.8501","3133.3357","1106793","0.0000"
"2016-11-11","3124.0000","3341.0000","2960.0500","3256.2500","3173.6858","1844480","0.0000"
"2016-11-04","3328.0000","3361.7500","3066.8000","3079.7000","3001.6123","1504459","0.0000"
"2016-10-28","3120.0000","3399.8999","3068.5000","3363.4500","3278.1675","3119788","0.0000"
"2016-10-21","3030.0000","3143.0000","3012.0000","3113.6001","3034.6528","985248","0.0000"
"2016-10-14","3070.8000","3084.7500","3021.6001","3031.2500","2954.3906","800157","0.0000"
"2016-10-10","3054.0000","3098.8000","3039.0000","3078.6499","3000.5886","317015","0.0000"
"2016-10-07","3114.6001","3185.0000","3045.0000","3054.3000","2976.8562","896688","0.0000"
"2016-09-30","3184.0000","3227.7000","3058.3000","3107.3999","3028.6096","1313415","0.0000"
"2016-09-23","3167.0000","3200.0000","3135.0000","3182.2000","3101.5132","1106812","0.0000"
"2016-09-16","3153.0000","3185.0000","3132.0000","3150.1499","3070.2759","628177","0.0000"
"2016-09-09","3131.0000","3225.0000","3115.5000","3193.3000","3112.3320","685174","0.0000"
"2016-09-02","3055.0000","3139.0000","3017.5000","3123.0500","3043.8633","1308194","0.0000"
"2016-08-26","3018.0000","3078.0000","2983.0000","3040.3999","2963.3086","1344394","0.0000"
"2016-08-19","3009.0000","3043.0000","2982.0000","3010.1499","2933.8254","1095902","0.0000"
"2016-08-12","3029.8000","3058.3000","2973.3000","3011.1499","2934.8003","1364875","0.0000"
"2016-08-05","2953.0000","3015.0000","2930.0000","3008.7000","2932.4126","1977651","0.0000"
"2016-07-29","3570.0000","3579.1499","2925.1001","2935.3501","2860.9224","8648802","0.0000"
"2016-07-22","3586.2500","3689.8501","3544.0000","3599.8501","3508.5737","1271485","0.0000"
"2016-07-15","3582.0000","3639.0000","3555.0000","3588.0000","3477.5310","1226006","0.0000"
"2016-07-08","3555.6001","3572.0000","3418.3000","3561.2500","3432.3391","1473999","0.0000"
"2016-07-01","3132.0000","3505.7500","3132.0000","3484.1001","3357.9822","2403946","0.0000"
"2016-06-24","3006.0000","3178.9500","3006.0000","3153.2500","3039.1082","1096383","0.0000"
"2016-06-17","3069.0000","3109.2000","2999.8000","3002.9500","2894.2488","3032320","0.0000"
"2016-06-10","3156.3999","3183.0000","3050.0000","3065.8000","2954.8237","2101381","0.0000"
"2016-06-03","3112.0000","3219.8999","3112.0000","3160.1001","3045.7102","1603138","0.0000"
"2016-05-27","3020.0000","3138.0000","3015.1001","3116.0500","3003.2549","1088797","0.0000"
"2016-05-20","2926.8000","3049.5000","2926.8000","3033.8000","2923.9822","1874780","0.0000"
"2016-05-13","2851.0000","2988.0000","2822.0000","2917.2000","2811.6028","3611192","0.0000"
"2016-05-06","3080.9500","3080.9500","2859.9500","2866.3000","2762.5452","1241825","0.0000"
"2016-04-29","3158.4500","3168.8999","3067.0000","3088.7000","2976.8945","1267028","0.0000"
"2016-04-22","3104.0000","3160.0000","3021.8999","3141.9500","3028.2170","1357746","0.0000"
"2016-04-13","3029.1499","3122.7000","2995.0000","3099.5000","2987.3040","879588","0.0000"
