"timestamp","open","high","low","close","adjusted close","volume","dividend amount"
"2018-10-17","2531.0000","2599.0000","2332.0000","2565.0000","2565.0000","9323126","0.0000"
"2018-09-28","2510.0000","2670.8000","2441.1001","2530.6499","2530.6499","20840012","0.0000"
"2018-08-31","2130.0000","2520.0000","2130.0000","2492.0000","2492.0000","16002824","0.0000"
"2018-07-31","2230.0000","2387.6499","2020.0000","2127.8000","2127.8000","23357303","0.0000"
"2018-06-29","1940.0000","2429.6001","1932.3500","2235.0500","2194.6174","30023604","0.0000"
"2018-05-31","2116.3999","2145.0000","1887.0000","1936.6000","1901.5664","12438593","0.0000"
"2018-04-30","2080.0000","2180.0000","2054.3000","2109.8501","2071.6821","8703302","0.0000"
"2018-03-28","2200.0500","2239.8999","2050.3000","2080.5500","2042.9124","8554659","0.0000"
"2018-02-28","2225.0000","2266.9500","2005.5500","2237.2500","2196.7776","13650120","0.0000"
"2018-01-31","2410.0000","2615.0000","2203.5500","2225.3501","2185.0930","14386210","0.0000"
"2017-12-29","2280.0000","2448.3999","2171.0000","2414.2000","2370.5264","9801048","0.0000"
"2017-11-30","2412.0000","2494.0000","2260.1499","2284.0500","2242.7310","12959781","0.0000"
"2017-10-31","2415.0000","2504.0000","2315.0000","2428.1499","2384.2239","11219907","0.0000"
"2017-09-29","2115.0000","2526.7500","2066.1499","2328.7500","2286.6221","26716906","0.0000"
"2017-08-31","2379.0000","2458.0000","1901.1500","2020.9000","1984.3414","18439793","0.0000"
"2017-07-31","2700.0000","2787.0000","2375.0000","2383.2000","2340.0874","9049179","0.0000"
"2017-06-30","2540.0000","2720.9500","2513.8999","2690.1001","2621.8909","6591042","0.0000"
"2017-05-31","2578.0000","2760.0000","2380.3501","2523.8501","2459.8562","9076182","0.0000"
"2017-04-28","2644.8000","2770.0000","2583.5500","2599.1499","2533.2468","5487978","0.0000"
"2017-03-31","2855.0000","2948.8000","2555.2000","2632.3501","2565.6050","11851056","0.0000"
"2017-02-28","3021.1001","3177.0000","2798.9500","2849.9500","2777.6877","10457756","0.0000"
"2017-01-31","3066.0000","3203.8501","2904.0000","3018.8000","2942.2566","5043564","0.0000"
"2016-12-30","3205.0000","3247.2500","2979.1001","3060.3999","2982.8015","4026447","0.0000"
"2016-11-30","3328.0000","3361.7500","2960.0500","3196.8999","3115.8406","6874267","0.0000"
"2016-10-28","3114.6001","3399.8999","3012.0000","3363.4500","3278.1675","6118896","0.0000"
"2016-09-30","3070.0500","3227.7000","3058.3000","3107.3999","3028.6096","4202113","0.0000"
"2016-08-31","2953.0000","3130.1499","2930.0000","3089.8501","3011.5051","6622481","0.0000"
"2016-07-29","3430.0000","3689.8501","2925.1001","2935.3501","2860.9224","13169374","0.0000"
"2016-06-30","3190.0000","3393.1001","2999.8000","3381.7000","3259.2888","8856247","0.0000"
"2016-05-31","3080.9500","3198.7000","2822.0000","3183.1001","3067.8779","8648433","0.0000"
"2016-04-29","3020.2000","3168.8999","2965.1499","3088.7000","2976.8945","5220788","0.0000"
"2016-03-31","3040.0000","3283.0000","2887.1499","3035.2000","2925.3313","8582298","0.0000"
"2016-02-29","3085.0000","3154.3999","2813.0500","3036.2500","2926.3433","10785081","0.0000"
"2016-01-29","3118.8000","3123.0000","2750.0500","3105.3999","2992.9900","7994450","0.0000"
"2015-12-31","3132.0000","3265.0000","2951.0000","3108.6001","2996.0747","11709161","0.0000"
"2015-11-30","4253.0000","4379.2002","3047.0500","3110.0000","2997.4241","24091083","0.0000"
"2015-10-30","4213.7500","4386.6001","4080.1001","4279.8999","4124.9761","10753973","0.0000"
