"timestamp","open","high","low","close","volume"
"2018-10-17","593.7000","612.0000","586.6500","593.4500","9608653"
"2018-10-12","592.0000","619.5000","582.6500","590.6000","24870950"
"2018-10-05","624.0000","640.7500","590.8500","597.9500","21907377"
"2018-09-28","638.0000","649.8000","616.0000","623.2500","28133741"
"2018-09-21","661.0000","668.2500","614.5000","634.9000","29340780"
"2018-09-14","656.5000","670.9000","620.1000","665.2500","36864717"
"2018-09-07","658.8000","679.3000","640.0000","664.2500","59205363"
"2018-08-31","632.3000","659.4000","616.8000","652.8500","38866393"
"2018-08-24","625.0000","645.5000","618.7000","629.8000","34098754"
"2018-08-17","556.9000","633.4000","552.6000","623.5000","67587162"
"2018-08-10","586.5000","593.4000","548.8500","554.0000","20595970"
"2018-08-03","555.3000","589.4000","551.9500","585.8500","22308287"
"2018-07-27","562.7000","568.5000","551.5000","557.0500","12853535"
"2018-07-20","559.5000","563.0000","530.7000","560.1000","19157214"
"2018-07-13","560.6000","572.6000","557.0500","559.7500","17981551"
"2018-07-06","566.3000","588.8500","555.0000","558.1000","28931487"
"2018-06-29","576.9000","592.0000","560.1500","564.0000","37502625"
"2018-06-22","572.0000","581.8000","547.6500","577.2500","30424832"
"2018-06-15","530.0000","573.8500","526.1500","571.3000","72082204"
"2018-06-08","486.0000","533.6500","470.1500","528.2500","41621139"
"2018-06-01","485.0000","509.9500","472.9000","484.3500","50701983"
"2018-05-25","464.2000","469.7000","435.0000","466.4500","26034611"
"2018-05-18","473.0000","488.9500","459.0000","464.9000","31576483"
"2018-05-11","518.0000","520.0000","467.7500","472.0500","22958791"
"2018-05-04","528.0000","539.3000","510.4500","517.9500","20382403"
"2018-04-27","505.0000","526.4000","505.0000","524.1500","15273036"
"2018-04-20","513.0000","521.9000","502.0000","505.3000","14572502"
"2018-04-13","512.0000","522.9000","507.3500","513.0000","16484982"
"2018-04-06","500.9000","515.3000","496.0500","512.6000","13935649"
"2018-03-28","502.4000","512.2500","492.0000","495.1000","15518858"
"2018-03-23","506.8000","521.0000","493.7500","502.4000","27972468"
"2018-03-16","511.0000","529.0000","501.3000","503.0500","23836364"
"2018-03-09","535.1000","563.0000","505.0000","506.8000","37764394"
"2018-03-01","570.0000","571.9000","532.6500","535.4000","27635967"
"2018-02-23","575.0000","577.2500","511.3000","569.6500","71218322"
"2018-02-16","586.0000","608.9500","563.3500","575.2500","34247172"
"2018-02-09","538.8000","587.0000","531.2000","582.7000","33673410"
"2018-02-02","581.0500","594.9000","544.6500","551.2000","33993401"
"2018-01-25","573.0000","596.5000","568.8500","579.8500","19245378"
"2018-01-19","586.8000","589.4500","567.6000","572.1000","22511238"
"2018-01-12","588.0000","604.6000","579.6000","583.4500","26203350"
"2018-01-05","571.5000","587.3500","560.1000","578.7500","22183333"
"2017-12-29","530.2000","585.6000","529.0000","571.1500","44475293"
"2017-12-22","517.0000","538.7000","499.5000","530.9500","18312728"
"2017-12-15","525.0000","533.7500","511.2000","518.3500","12679408"
"2017-12-08","529.8000","529.8000","506.0000","521.8500","18509783"
"2017-12-01","541.1000","556.3500","522.2500","525.9500","17616849"
"2017-11-24","520.0000","551.0000","514.3000","549.5000","22195995"
"2017-11-17","526.8000","541.6000","498.2000","517.1000","28848689"
"2017-11-10","553.0000","555.9000","513.2500","527.8500","25226828"
"2017-11-03","552.1000","572.3000","544.1000","551.2500","23581540"
"2017-10-27","536.0500","557.9000","519.0000","549.9000","19290023"
"2017-10-19","538.4000","554.0000","532.0000","535.7500","13734458"
"2017-10-13","527.8000","545.0000","521.1500","534.7000","24114866"
"2017-10-06","509.0000","533.0000","500.1500","530.2000","18983666"
"2017-09-29","512.0000","515.0000","489.5000","503.2500","24591159"
"2017-09-22","525.0000","529.4000","503.6000","513.8500","31278536"
"2017-09-15","474.5000","527.9500","466.2000","524.3000","39250590"
"2017-09-08","484.0000","509.7000","467.2500","471.3500","23573279"
"2017-09-01","488.8000","499.9000","476.6500","486.2000","19913863"
"2017-08-24","475.4000","488.4500","459.4000","483.0000","17375920"
"2017-08-18","433.0000","490.4000","432.7000","470.1500","37433054"
"2017-08-11","508.9000","513.1500","444.6000","450.0000","34348827"
"2017-08-04","553.0000","553.7000","492.6500","506.4000","24464714"
"2017-07-28","577.0000","582.2000","549.0000","550.8000","14880023"
"2017-07-21","575.0000","591.5000","567.5000","575.9500","9158282"
"2017-07-14","557.7500","578.9500","557.7500","572.5500","12708763"
"2017-07-07","556.0000","560.6000","543.4500","549.0000","15320022"
"2017-06-30","547.0000","560.9500","534.1000","555.7000","22577363"
"2017-06-23","533.0000","545.5000","519.7500","543.8000","21962188"
"2017-06-16","525.0000","552.0000","521.9000","529.1500","29560915"
"2017-06-09","520.0000","534.6000","503.0000","524.7000","29540354"
"2017-06-02","529.0000","529.0000","492.6500","514.8500","89755597"
"2017-05-26","654.0000","654.0000","564.0000","567.6500","36584233"
"2017-05-19","655.4000","656.9500","643.4500","653.1500","9842593"
"2017-05-12","630.9500","656.7000","626.7000","655.1000","8182926"
"2017-05-05","642.4000","644.2500","623.6000","630.2000","11911990"
"2017-04-28","635.0000","649.0000","632.0500","641.9500","12506482"
"2017-04-21","682.0000","683.0000","636.6000","639.6000","14549266"
"2017-04-13","667.0000","699.8500","661.2000","692.7500","9055731"
"2017-04-07","688.7500","696.7000","662.2000","665.9500","11416959"
"2017-03-31","701.0000","703.3500","684.6000","688.1500","14095151"
"2017-03-24","709.0000","711.0000","684.1500","703.9000","10176757"
"2017-03-17","693.5000","729.0500","677.1000","707.5000","19058451"
"2017-03-10","684.0000","691.1000","673.0000","682.9500","12887925"
"2017-03-03","674.1000","701.3000","671.1000","686.4500","18438999"
"2017-02-23","678.0000","686.4000","662.7500","674.5500","14754686"
"2017-02-17","656.5000","677.9500","621.5000","675.5000","27955312"
"2017-02-10","650.0000","689.5500","645.0000","655.0500","19179130"
"2017-02-03","640.0500","654.9000","618.4000","647.2500","13707773"
"2017-01-27","640.0000","646.7000","632.5000","640.5000","10574046"
"2017-01-20","651.0000","654.9000","640.0000","641.5500","14140834"
"2017-01-13","641.1000","657.4000","627.1000","653.0000","16966854"
"2017-01-06","633.0000","649.7500","627.0000","640.7500","12042511"
"2016-12-30","624.5500","632.0000","610.0000","630.0000","16123878"
"2016-12-23","644.0000","644.0000","608.0000","623.5000","27188065"
"2016-12-16","673.2000","692.6500","633.6000","647.3500","30185694"
"2016-12-09","722.0000","725.0000","658.8500","673.0000","28972142"
"2016-12-02","713.6500","730.9500","702.0000","720.3500","16601750"
"2016-11-25","692.0000","717.0000","676.0500","714.1500","21140555"
"2016-11-18","697.9500","705.5500","660.0000","688.8500","20446463"
"2016-11-11","676.0000","708.0000","571.9000","688.0000","54065437"
"2016-11-04","749.0000","749.0000","647.1000","651.5000","28136187"
"2016-10-28","749.9000","759.0000","736.1000","743.4000","8732480"
"2016-10-21","747.3000","759.0000","732.0000","747.7500","8846986"
"2016-10-14","749.2000","753.9000","735.1000","745.5000","4846239"
"2016-10-10","752.9500","758.0000","750.0000","755.4500","1365905"
"2016-10-07","750.0000","773.0000","748.8000","751.2000","9570616"
"2016-09-30","781.0000","784.2500","732.0000","742.7000","13580529"
"2016-09-23","784.5500","790.7500","776.3500","780.0500","8433143"
"2016-09-16","789.0000","796.2000","774.4000","783.8000","10263614"
"2016-09-09","786.0000","818.5000","776.5500","797.4500","10576566"
"2016-09-02","757.9000","784.3000","746.6000","782.3500","10545430"
"2016-08-26","784.2500","785.0000","752.7500","755.2500","17328151"
"2016-08-19","808.3500","808.3500","772.8000","783.8000","13469197"
"2016-08-12","842.0500","844.8500","785.2000","800.5500","21989750"
"2016-08-05","837.9000","854.9500","821.3000","841.9000","10811418"
"2016-07-29","788.0000","839.8000","787.0000","829.9500","16150831"
"2016-07-22","774.3000","806.0000","770.9000","786.6000","16724659"
"2016-07-15","789.0000","794.8500","764.1000","770.4000","21331415"
"2016-07-08","768.2500","785.0000","764.2500","777.5000","9011562"
"2016-07-01","757.0000","779.3500","753.3000","763.3500","16937690"
"2016-06-24","739.8500","765.0000","731.4000","754.7500","22292705"
"2016-06-17","738.5000","758.3500","733.1500","743.2000","13161714"
"2016-06-10","748.9000","750.0000","710.1500","741.4000","23819132"
"2016-06-03","831.0000","842.0000","735.0500","737.3500","36361669"
"2016-05-27","793.0000","828.0000","771.0000","824.9500","11785765"
"2016-05-20","799.9000","802.6000","790.0000","791.3500","12359501"
"2016-05-13","805.0000","811.8000","792.0000","795.0500","11399266"
"2016-05-06","813.7500","828.0000","780.0000","804.4000","13944859"
