"timestamp","open","high","low","close","volume"
"2018-10-17","2914.3999","2982.3000","2846.2000","2865.0000","74202"
"2018-10-12","2749.7000","2890.0000","2501.0000","2867.2000","152346"
"2018-10-05","2988.0000","2990.0000","2660.0000","2689.3000","109260"
"2018-09-28","3140.0000","3190.0000","2850.0000","2986.5000","222074"
"2018-09-21","3538.9500","3590.1001","2824.0000","3156.3000","196040"
"2018-09-14","3596.0000","3788.0000","3464.9500","3525.5500","224229"
"2018-09-07","3668.0000","3720.0000","3360.1001","3582.2500","294115"
"2018-08-31","3364.0000","3847.7000","3307.5000","3621.3000","1472052"
"2018-08-24","3031.0500","3458.0000","2894.5000","3409.3501","757501"
"2018-08-17","2709.9500","3088.0000","2700.1499","3039.4500","369625"
"2018-08-10","2739.9500","2800.0000","2659.5000","2714.3000","308252"
"2018-08-03","2689.0000","2819.0000","2630.0000","2703.9500","412785"
"2018-07-27","2550.0000","2747.3000","2524.9500","2689.8999","310098"
"2018-07-20","2583.8999","2599.0000","2525.0000","2537.7000","64391"
"2018-07-13","2580.0000","2615.0000","2512.0500","2564.7000","269061"
"2018-07-06","2594.0000","2597.0000","2491.1001","2538.6001","43877"
"2018-06-29","2596.3501","2649.0000","2560.6499","2579.5000","111055"
"2018-06-22","2600.0000","2675.0000","2563.2500","2596.3501","125861"
"2018-06-15","2640.0000","2672.8501","2566.0000","2577.4500","83518"
"2018-06-08","2569.0000","2650.0000","2475.6499","2628.4500","149658"
"2018-06-01","2422.9500","2614.9500","2400.1001","2565.0000","151985"
"2018-05-25","2441.1001","2461.8000","2351.5500","2411.7000","191024"
"2018-05-18","2420.0000","2475.0000","2350.0000","2440.4500","109884"
"2018-05-11","2330.0000","2549.7500","2310.6001","2408.8501","304477"
"2018-05-04","2206.1499","2333.0000","2202.5500","2322.3000","84843"
"2018-04-27","2234.2000","2274.3999","2175.0000","2202.5000","56792"
"2018-04-20","2091.5000","2249.0000","2086.0500","2234.2000","240935"
"2018-04-13","2145.0000","2148.8999","2080.0000","2093.4500","62917"
"2018-04-06","2185.0000","2227.8999","2125.0000","2146.0000","61756"
"2018-03-28","2084.0000","2218.0000","2055.5000","2185.2000","84672"
"2018-03-23","2145.0000","2174.0000","2050.0500","2083.0000","57476"
"2018-03-16","2199.0000","2221.0000","2113.6499","2139.7000","55678"
"2018-03-09","2266.8501","2279.9500","2152.1001","2196.8999","69966"
"2018-03-01","2298.0000","2319.0500","2253.0000","2282.8999","62908"
"2018-02-23","2316.0000","2328.9500","2247.0000","2306.8000","86314"
"2018-02-16","2327.0500","2369.8000","2251.0500","2315.1499","105176"
"2018-02-09","2202.0000","2334.0000","2075.0000","2309.3000","134755"
"2018-02-02","2286.6001","2367.9500","2214.0500","2230.3501","163090"
"2018-01-25","2123.0000","2298.6499","2065.0000","2252.5000","370011"
"2018-01-19","2014.5000","2138.8999","2005.0500","2123.0000","257662"
"2018-01-12","2050.0000","2059.2000","2001.0000","2020.2500","117824"
"2018-01-05","2077.4500","2086.0000","2010.0000","2049.5000","102097"
