"timestamp","open","high","low","close","adjusted close","volume","dividend amount"
"2018-10-17","2914.3999","2982.3000","2846.2000","2865.0000","2865.0000","74202","0.0000"
"2018-10-12","2749.7000","2890.0000","2501.0000","2867.2000","2867.2000","152346","0.0000"
"2018-10-05","2988.0000","2990.0000","2660.0000","2689.3000","2689.3000","109260","0.0000"
"2018-09-28","3140.0000","3190.0000","2850.0000","2986.5000","2986.5000","222074","0.0000"
"2018-09-21","3538.9500","3590.1001","2824.0000","3156.3000","3156.3000","196040","0.0000"
"2018-09-14","3596.0000","3788.0000","3464.9500","3525.5500","3525.5500","224229","0.0000"
"2018-09-07","3668.0000","3720.0000","3360.1001","3582.2500","3582.2500","294115","0.0000"
"2018-08-31","3364.0000","3847.7000","3307.5000","3621.3000","3621.3000","1472052","0.0000"
"2018-08-24","3031.0500","3458.0000","2894.5000","3409.3501","3391.0789","757501","0.0000"
"2018-08-17","2709.9500","3088.0000","2700.1499","3039.4500","3023.1611","369625","0.0000"
"2018-08-10","2739.9500","2800.0000","2659.5000","2714.3000","2699.7537","308252","0.0000"
"2018-08-03","2689.0000","2819.0000","2630.0000","2703.9500","2689.4590","412785","0.0000"
"2018-07-27","2550.0000","2747.3000","2524.9500","2689.8999","2675.4844","310098","0.0000"
"2018-07-20","2583.8999","2599.0000","2525.0000","2537.7000","2524.1001","64391","0.0000"
"2018-07-13","2580.0000","2615.0000","2512.0500","2564.7000","2550.9553","269061","0.0000"
"2018-07-06","2594.0000","2597.0000","2491.1001","2538.6001","2524.9954","43877","0.0000"
"2018-06-29","2596.3501","2649.0000","2560.6499","2579.5000","2565.6760","111055","0.0000"
"2018-06-22","2600.0000","2675.0000","2563.2500","2596.3501","2582.4358","125861","0.0000"
"2018-06-15","2640.0000","2672.8501","2566.0000","2577.4500","2563.6370","83518","0.0000"
"2018-06-08","2569.0000","2650.0000","2475.6499","2628.4500","2614.3635","149658","0.0000"
"2018-06-01","2422.9500","2614.9500","2400.1001","2565.0000","2551.2537","151985","0.0000"
"2018-05-25","2441.1001","2461.8000","2351.5500","2411.7000","2398.7751","191024","0.0000"
"2018-05-18","2420.0000","2475.0000","2350.0000","2440.4500","2427.3711","109884","0.0000"
